EEG,t_EEG
-2.288888,12.87
2.288888,12.88
6.683554,12.89
7.232887,12.9
10.34577,12.91
10.62044,12.92
10.80355,12.93
11.81066,12.94
10.98666,12.95
13.36711,12.96
13.00089,12.97
7.324442,12.98
2.563555,12.99
0.4577776,13
-5.218665,13.01
-11.536,13.02
-9.796441,13.03
-5.218665,13.04
-4.028443,13.05
1.464888,13.06
11.536,13.07
17.94488,13.08
18.21955,13.09
9.704886,13.1
1.739555,13.11
-2.563555,13.12
-6.683554,13.13
-6.408887,13.14
-5.859554,13.15
-6.408887,13.16
-8.056887,13.17
-9.247108,13.18
-8.697775,13.19
-14.64888,13.2
-20.41688,13.21
-23.52977,13.22
-26.36799,13.23
-28.10755,13.24
-31.03732,13.25
-26.82577,13.26
-19.04355,13.27
-4.943998,13.28
10.25422,13.29
10.43733,13.3
6.225776,13.31
-2.014222,13.32
-15.38133,13.33
-23.89599,13.34
-28.56532,13.35
-26.73421,13.36
-21.05777,13.37
-16.93777,13.38
-17.21244,13.39
-17.85333,13.4
-15.83911,13.41
-15.656,13.42
-12.81777,13.43
-7.049776,13.44
-7.049776,13.45
-12.08533,13.46
-15.19822,13.47
-20.69155,13.48
-26.73421,13.49
-27.92444,13.5
-22.24799,13.51
-18.86044,13.52
-23.62133,13.53
-26.18488,13.54
-24.62844,13.55
-22.06488,13.56
-18.95199,13.57
-13.27555,13.58
-5.310221,13.59
1.739555,13.6
2.838221,13.61
-1.648,13.62
-10.16266,13.63
-19.40977,13.64
-19.86755,13.65
-15.38133,13.66
-13.36711,13.67
-10.89511,13.68
-6.591998,13.69
-3.662221,13.7
-4.486221,13.71
-6.591998,13.72
-7.232887,13.73
-10.34577,13.74
-13.91644,13.75
-18.49422,13.76
-22.15644,13.77
-24.71999,13.78
-24.17066,13.79
-16.02222,13.8
-9.247108,13.81
-8.606219,13.82
-3.662221,13.83
2.105777,13.84
5.218665,13.85
9.338664,13.86
8.880886,13.87
11.71911,13.88
16.93777,13.89
19.77599,13.9
20.87466,13.91
19.68444,13.92
24.35377,13.93
25.36088,13.94
22.52266,13.95
23.16355,13.96
24.26221,13.97
24.53688,13.98
26.09332,13.99
32.77688,14
36.25599,14.01
37.62932,14.02
39.7351,14.03
42.48177,14.04
43.58043,14.05
40.74221,14.06
40.83377,14.07
39.46043,14.08
38.36177,14.09
43.48888,14.1
48.98221,14.11
51.17954,14.12
53.10221,14.13
53.28532,14.14
47.24265,14.15
41.10843,14.16
37.90399,14.17
33.9671,14.18
33.05154,14.19
35.79821,14.2
38.63643,14.21
38.63643,14.22
32.59377,14.23
33.87555,14.24
35.88977,14.25
29.29777,14.26
32.22755,14.27
40.37599,14.28
44.95377,14.29
42.2071,14.3
33.1431,14.31
24.26221,14.32
15.01511,14.33
5.493332,14.34
2.563555,14.35
8.606219,14.36
15.47288,14.37
18.86044,14.38
22.4311,14.39
28.74844,14.4
28.47377,14.41
29.57244,14.42
33.32621,14.43
31.86132,14.44
29.8471,14.45
22.61422,14.46
20.96622,14.47
23.34666,14.48
25.26933,14.49
30.85421,14.5
33.50932,14.51
30.03021,14.52
17.85333,14.53
3.845332,14.54
-7.873775,14.55
-18.12799,14.56
-20.50844,14.57
-15.93066,14.58
-8.331553,14.59
-3.295999,14.6
-2.65511,14.61
-3.295999,14.62
-4.852443,14.63
-7.415998,14.64
-14.74044,14.65
-22.4311,14.66
-24.71999,14.67
-28.83999,14.68
